1993	13900	0
5254	6764	0
5466	14063	0
16856	4615	0
25637	19671	0
13425	17370	1
5708	13756	0
19170	26434	1
7909	19214	1
21109	22843	1
13214	23200	1
4847	6176	1
16291	26849	1
5886	3107	1
12116	18353	1
15141	3946	1
14249	11027	0
20409	1738	0
19165	24947	1
17628	19970	1
18789	17645	1
12111	21868	1
12366	17445	1
2785	2214	0
27642	2620	0
6523	9861	1
11995	25119	1
18316	9339	0
24150	10590	0
17440	5584	0
19580	15232	1
24548	11759	1
21581	14772	0
20715	2376	0
17606	27401	1
2412	7105	1
8287	9332	0
24892	26882	0
3931	19728	0
9769	11814	0
18079	22843	1
19355	15711	1
19543	4219	1
26643	10406	1
11255	22607	1
20665	23910	0
14367	15928	1
5200	10020	1
6909	303	0
8465	18226	0
5357	2514	1
14492	9543	1
9973	788	1
15055	11830	1
18765	27162	1
13003	11573	1
2434	25674	0
10126	12604	1
11239	11631	1
2517	18847	1
2833	9455	0
16395	15232	1
6317	9674	0
8274	16746	0
12340	14801	0
21913	5730	1
18395	15429	0
12555	25357	0
11648	1592	0
2390	5898	1
8400	19719	0
2793	13951	0
1326	3421	0
13084	20821	0
12491	8280	1
15665	17103	0
17275	23580	0
27026	11830	1
1266	14264	1
14293	8545	0
24484	25596	1
6583	19154	1
18716	23374	1
13843	16968	1
13686	27937	0
14163	9473	1
8956	14511	0
18926	24462	0
22438	21052	0
13878	19592	1
24389	10754	1
3283	10033	1
6501	2558	1
11608	26106	0
6646	15123	1
187	11092	1
22370	4043	0
23238	3099	1
11792	19056	1
3571	4111	0
23869	431	1
27424	24785	0
26611	17236	1
16365	2032	0
21804	6206	1
13790	12026	1
23440	21505	0
22198	2074	1
24188	20119	0
3972	2682	1
11984	14086	0
11380	19904	0
8756	15595	0
21948	6230	0
8053	6531	0
20166	16382	0
18785	27468	1
11912	17742	0
12526	21057	1
20125	4340	1
9924	16918	1
14293	16397	1
6202	25780	0
20085	6115	0
8635	6089	1
15027	9424	1
15031	28227	0
3403	16525	1
3339	21170	1
5209	21215	1
27393	7736	0
4224	11615	0
3266	23809	0
15783	14255	1
11608	19865	1
24510	6014	1
28283	22991	1
27512	16252	0
24718	22094	1
20452	20344	0
20869	2607	0
12179	26432	1
9887	23651	0
527	14291	0
17221	7373	1
15071	12867	0
520	11955	0
19157	3433	0
26885	1317	0
19751	17048	0
10369	22105	0
12111	18267	1
5200	11526	1
23191	458	0
2020	10496	0
10576	13015	1
1061	21020	1
4619	16625	0
26851	23518	0
18300	24652	0
8941	17035	1
17013	15280	0
21347	1729	1
27933	13027	1
25848	15607	1
15844	4523	1
26665	22737	0
18386	4964	0
19672	15996	0
7152	15232	1
18764	27782	0
8475	14446	1
16750	4563	1
1376	15486	0
11742	1125	0
18295	24266	1
2565	18197	1
17853	27707	0
9364	6605	0
5953	26340	0
16049	18406	1
786	23462	1
10404	20552	0
24143	11830	1
8800	4936	0
638	18708	1
16671	10508	0
23261	5188	1
18386	11266	0
23058	3321	0
1910	1707	0
23612	17465	1
3352	20687	0
6911	3116	1
22256	25856	0
12752	4618	1
1567	20726	0
13844	12579	0
24030	18948	1
7960	1192	0
22154	18811	0
17657	1569	0
4766	20391	1
2570	1288	1
22542	17257	1
9717	20590	0
1018	5248	1
22126	23753	1
3635	25683	1
22256	1843	1
4369	28366	1
16605	20830	0
22822	568	0
12037	17299	1
9606	13065	1
13697	10077	1
24901	11426	1
13880	20300	1
25972	9171	0
22414	3340	0
15099	15338	1
16441	16752	1
8462	14902	1
11596	2352	1
5067	3519	1
26075	14253	0
5113	7607	1
22231	15122	1
10594	20199	0
27287	12299	1
22496	11615	0
24740	1803	1
12128	19435	0
1685	25387	1
4619	8528	0
27642	16550	1
11635	9698	1
6305	25576	0
28337	7967	0
12406	5040	1
9610	7297	1
4993	26064	0
5491	18541	1
20563	10335	0
19110	4071	1
8739	15175	0
21252	14659	0
9758	7428	1
19179	5011	0
28200	3601	0
18286	24281	1
15090	23667	0
20445	1945	0
18236	11118	0
17574	13038	1
4624	19837	0
18063	651	1
14764	4345	0
21439	23953	0
24932	16413	0
13770	5157	1
16457	27556	0
267	22804	0
1562	10508	0
8073	12589	0
95	11704	1
2171	10055	1
16970	9930	1
9559	17501	1
12034	13553	1
11839	25829	0
3883	22777	0
3283	1144	1
12491	7748	1
5191	3321	0
